 0.0000	0.0
 0.0010	-5.1941244082248975e-09
 0.0020	-1.0374035704500321e-08
 0.0030	-1.5540032874679354e-08
 0.0040	-2.069241613025318e-08
 0.0050	-2.583148690942437e-08
 0.0060	-3.0957547877490223e-08
 0.0070	-3.607090292753274e-08
 0.0080	-4.117185718057196e-08
 0.0090	-4.626071698602593e-08
 0.0100	-5.133778992140407e-08
 0.0110	-5.6403384792613816e-08
 0.0120	-6.145781163342398e-08
 0.0130	-6.650138170515807e-08
 0.0140	-7.153440749608098e-08
 0.0150	-7.655720272086238e-08
 0.0160	-8.157008231942667e-08
 0.0170	-8.657336245610974e-08
 0.0180	-9.15673605183556e-08
 0.0190	-9.65523951153365e-08
 0.0200	-1.0152878607641955e-07
 0.0210	-1.064968544494035e-07
 0.0220	-1.1145692249860206e-07
 0.0230	-1.1640931370285074e-07
 0.0240	-1.213543527530534e-07
 0.0250	-1.2629236554980575e-07
 0.0260	-1.3122367920078883e-07
 0.0270	-1.3614862201793226e-07
 0.0280	-1.4106752351427104e-07
 0.0290	-1.459807144008024e-07
 0.0300	-1.5088852658303567e-07
 0.0310	-1.55791293157466e-07
 0.0320	-1.606893484074342e-07
 0.0330	-1.6558302779944698e-07
 0.0340	-1.7047266797873037e-07
 0.0350	-1.7535860676478314e-07
 0.0360	-1.8024118314677697e-07
 0.0370	-1.851207372785732e-07
 0.0380	-1.8999761047358636e-07
 0.0390	-1.9487214519972417e-07
 0.0400	-1.9974468507348452e-07
 0.0410	-2.0461557485428217e-07
 0.0420	-2.0948516043862238e-07
 0.0430	-2.143537888536608e-07
 0.0440	-2.1922180825076397e-07
 0.0450	-2.2408956789891592e-07
 0.0460	-2.2895741817751178e-07
 0.0470	-2.3382571056953466e-07
 0.0480	-2.386947976538124e-07
 0.0490	-2.4356503309750465e-07
 0.0500	-2.4843677164820605e-07
 0.0510	-2.533103691255902e-07
 0.0520	-2.581861824132062e-07
 0.0530	-2.630645694496624e-07
 0.0540	-2.6794588921980995e-07
 0.0550	-2.7283050174538963e-07
 0.0560	-2.7771876807583217e-07
 0.0570	-2.826110502782917e-07
 0.0580	-2.875077114277562e-07
 0.0590	-2.924091155970044e-07
 0.0600	-2.973156278457959e-07
 0.0610	-3.0222761421029155e-07
 0.0620	-3.071454416919371e-07
 0.0630	-3.120694782462702e-07
 0.0640	-3.170000927711138e-07
 0.0650	-3.2193765509484683e-07
 0.0660	-3.268825359642908e-07
 0.0670	-3.3183510703229035e-07
 0.0680	-3.367957408448336e-07
 0.0690	-3.41764810828249e-07
 0.0700	-3.467426912759425e-07
 0.0710	-3.517297573347511e-07
 0.0720	-3.567263849911434e-07
 0.0730	-3.6173295105718956e-07
 0.0740	-3.66749833155919e-07
 0.0750	-3.7177740970690684e-07
 0.0760	-3.768160599111712e-07
 0.0770	-3.818661637357636e-07
 0.0780	-3.8692810189835947e-07
 0.0790	-3.920022558513883e-07
 0.0800	-3.9708900776585756e-07
 0.0810	-4.0218874051494655e-07
 0.0820	-4.0730183765706325e-07
 0.0830	-4.12428683419055e-07
 0.0840	-4.175696626788055e-07
 0.0850	-4.2272516094767867e-07
 0.0860	-4.27895564352349e-07
 0.0870	-4.330812596168621e-07
 0.0880	-4.3828263404408193e-07
 0.0890	-4.4350007549675446e-07
 0.0900	-4.487339723784949e-07
 0.0910	-4.5398471361446834e-07
 0.0920	-4.5925268863161e-07
 0.0930	-4.645382873386926e-07
 0.0940	-4.6984190010601024e-07
 0.0950	-4.7516391774483207e-07
 0.0960	-4.805047314865498e-07
 0.0970	-4.858647329615946e-07
 0.0980	-4.912443141778947e-07
 0.0990	-4.966438674991788e-07
 0.1000	-5.020637856231269e-07
 0.1010	-5.075044615588314e-07
 0.1020	-5.129662886043331e-07
 0.1030	-5.184496603236997e-07
 0.1040	-5.239549705240258e-07
 0.1050	-5.294826132317436e-07
 0.1060	-5.350329826691635e-07
 0.1070	-5.406064732304015e-07
 0.1080	-5.462034794570763e-07
 0.1090	-5.51824396013777e-07
 0.1100	-5.574696176633765e-07
 0.1110	-5.631395392418092e-07
 0.1120	-5.688345556327718e-07
 0.1130	-5.745550617422701e-07
 0.1140	-5.803014524725537e-07
 0.1150	-5.860741226960494e-07
 0.1160	-5.91873467229142e-07
 0.1170	-5.976998808054187e-07
 0.1180	-6.035537580487597e-07
 0.1190	-6.094354934462749e-07
 0.1200	-6.153454813209356e-07
 0.1210	-6.212841158040513e-07
 0.1220	-6.272517908073638e-07
 0.1230	-6.332488999949113e-07
 0.1240	-6.392758367548928e-07
 0.1250	-6.453329941711483e-07
 0.1260	-6.514207649941799e-07
 0.1270	-6.575395416125557e-07
 0.1280	-6.636897160234708e-07
 0.1290	-6.698716798036145e-07
 0.1300	-6.760858240793478e-07
 0.1310	-6.823325394971876e-07
 0.1320	-6.886122161936774e-07
 0.1330	-6.949252437653346e-07
 0.1340	-7.012720112383684e-07
 0.1350	-7.076529070380133e-07
 0.1360	-7.140683189580939e-07
 0.1370	-7.205186341299753e-07
 0.1380	-7.270042389917437e-07
 0.1390	-7.335255192568512e-07
 0.1400	-7.400828598829894e-07
 0.1410	-7.46676645040657e-07
 0.1420	-7.533072580813443e-07
 0.1430	-7.599750815061767e-07
 0.1440	-7.666804969337927e-07
 0.1450	-7.734238850685282e-07
 0.1460	-7.802056256682167e-07
 0.1470	-7.870260975122207e-07
 0.1480	-7.938856783690023e-07
 0.1490	-8.007847449637709e-07
 0.1500	-8.077236729460537e-07
 0.1510	-8.147028368572667e-07
 0.1520	-8.217226100979792e-07
